# alpha                     Rey                       CL                        CD                        Cm                       
        -3.4906585040E-02          2.2842105263E+05          2.5850000000E-01          1.1760000000E-02         -1.0710000000E-01
        -3.4906585040E-02          3.3263157895E+05          2.6320000000E-01          9.7700000000E-03         -1.0590000000E-01
        -3.4906585040E-02          4.3684210526E+05          2.6340000000E-01          8.8200000000E-03         -1.0510000000E-01
        -3.4906585040E-02          5.4105263158E+05          2.6310000000E-01          8.2400000000E-03         -1.0460000000E-01
        -3.4906585040E-02          6.4526315789E+05          2.6270000000E-01          7.8500000000E-03         -1.0420000000E-01
        -3.4906585040E-02          7.4947368421E+05          2.6230000000E-01          7.5700000000E-03         -1.0400000000E-01
        -3.4906585040E-02          8.5368421053E+05          2.6200000000E-01          7.3500000000E-03         -1.0380000000E-01
        -3.4906585040E-02          9.5789473684E+05          2.6170000000E-01          7.1700000000E-03         -1.0370000000E-01
        -3.4906585040E-02          1.0621052632E+06          2.6130000000E-01          7.0300000000E-03         -1.0350000000E-01
        -3.4906585040E-02          1.1663157895E+06          2.6120000000E-01          6.9000000000E-03         -1.0350000000E-01
        -3.4906585040E-02          1.2705263158E+06          2.6100000000E-01          6.8000000000E-03         -1.0340000000E-01
        -3.4906585040E-02          1.3747368421E+06          2.6080000000E-01          6.7100000000E-03         -1.0330000000E-01
        -3.4906585040E-02          1.4789473684E+06          2.6070000000E-01          6.6300000000E-03         -1.0330000000E-01
        -3.4906585040E-02          1.5831578947E+06          2.6060000000E-01          6.5600000000E-03         -1.0330000000E-01
        -3.4906585040E-02          1.6873684211E+06          2.6050000000E-01          6.4900000000E-03         -1.0330000000E-01
        -3.4906585040E-02          1.7915789474E+06          2.6050000000E-01          6.4400000000E-03         -1.0320000000E-01
        -3.4906585040E-02          1.8957894737E+06          2.6040000000E-01          6.3900000000E-03         -1.0320000000E-01
        -3.4906585040E-02          2.0000000000E+06          2.6040000000E-01          6.3300000000E-03         -1.0320000000E-01
        -1.7453292520E-02          2.0000000000E+04         -1.3420000000E-01          3.8540000000E-02         -2.3600000000E-02
        -1.7453292520E-02          1.2421052632E+05          3.4600000000E-01          1.5210000000E-02         -1.0620000000E-01
        -1.7453292520E-02          2.2842105263E+05          3.6220000000E-01          1.0050000000E-02         -1.0470000000E-01
        -1.7453292520E-02          3.3263157895E+05          3.7090000000E-01          8.9200000000E-03         -1.0480000000E-01
        -1.7453292520E-02          4.3684210526E+05          3.7220000000E-01          8.3200000000E-03         -1.0420000000E-01
        -1.7453292520E-02          5.4105263158E+05          3.7240000000E-01          7.8900000000E-03         -1.0380000000E-01
        -1.7453292520E-02          6.4526315789E+05          3.7240000000E-01          7.5800000000E-03         -1.0360000000E-01
        -1.7453292520E-02          7.4947368421E+05          3.7230000000E-01          7.3400000000E-03         -1.0340000000E-01
        -1.7453292520E-02          8.5368421053E+05          3.7210000000E-01          7.1600000000E-03         -1.0330000000E-01
        -1.7453292520E-02          9.5789473684E+05          3.7200000000E-01          7.0200000000E-03         -1.0320000000E-01
        -1.7453292520E-02          1.0621052632E+06          3.7210000000E-01          6.8800000000E-03         -1.0320000000E-01
        -1.7453292520E-02          1.1663157895E+06          3.7210000000E-01          6.7700000000E-03         -1.0320000000E-01
        -1.7453292520E-02          1.2705263158E+06          3.7180000000E-01          6.7000000000E-03         -1.0315000000E-01
        -1.7453292520E-02          1.3747368421E+06          3.7220000000E-01          6.6000000000E-03         -1.0310000000E-01
        -1.7453292520E-02          1.4789473684E+06          3.7220000000E-01          6.5400000000E-03         -1.0310000000E-01
        -1.7453292520E-02          1.5831578947E+06          3.7240000000E-01          6.4700000000E-03         -1.0320000000E-01
        -1.7453292520E-02          1.6873684211E+06          3.7230000000E-01          6.4200000000E-03         -1.0310000000E-01
        -1.7453292520E-02          1.7915789474E+06          3.7250000000E-01          6.3700000000E-03         -1.0320000000E-01
        -1.7453292520E-02          1.8957894737E+06          3.7250000000E-01          6.3200000000E-03         -1.0320000000E-01
        -1.7453292520E-02          2.0000000000E+06          3.7270000000E-01          6.2700000000E-03         -1.0320000000E-01
         0.0000000000E+00          2.0000000000E+04          1.1700000000E-02          3.8450000000E-02         -4.4600000000E-02
         0.0000000000E+00          1.2421052632E+05          4.7020000000E-01          1.4610000000E-02         -1.0690000000E-01
         0.0000000000E+00          2.2842105263E+05          4.9640000000E-01          9.3000000000E-03         -1.0700000000E-01
         0.0000000000E+00          3.3263157895E+05          4.9280000000E-01          7.7500000000E-03         -1.0530000000E-01
         0.0000000000E+00          4.3684210526E+05          4.6560000000E-01          7.0600000000E-03         -9.9600000000E-02
         0.0000000000E+00          5.4105263158E+05          4.8520000000E-01          7.3850000000E-03         -1.0360000000E-01
         0.0000000000E+00          6.4526315789E+05          4.7720000000E-01          6.8200000000E-03         -1.0230000000E-01
         0.0000000000E+00          7.4947368421E+05          4.7900000000E-01          6.7700000000E-03         -1.0260000000E-01
         0.0000000000E+00          8.5368421053E+05          4.8010000000E-01          6.7500000000E-03         -1.0270000000E-01
         0.0000000000E+00          9.5789473684E+05          4.8100000000E-01          6.7300000000E-03         -1.0270000000E-01
         0.0000000000E+00          1.0621052632E+06          4.8180000000E-01          6.7000000000E-03         -1.0280000000E-01
         0.0000000000E+00          1.1663157895E+06          4.8230000000E-01          6.6500000000E-03         -1.0280000000E-01
         0.0000000000E+00          1.2705263158E+06          4.8260000000E-01          6.6000000000E-03         -1.0290000000E-01
         0.0000000000E+00          1.3747368421E+06          4.8310000000E-01          6.5400000000E-03         -1.0290000000E-01
         0.0000000000E+00          1.4789473684E+06          4.8330000000E-01          6.4800000000E-03         -1.0300000000E-01
         0.0000000000E+00          1.5831578947E+06          4.8370000000E-01          6.4300000000E-03         -1.0300000000E-01
         0.0000000000E+00          1.6873684211E+06          4.8400000000E-01          6.3800000000E-03         -1.0310000000E-01
         0.0000000000E+00          1.7915789474E+06          4.8420000000E-01          6.3400000000E-03         -1.0310000000E-01
         0.0000000000E+00          1.8957894737E+06          4.8460000000E-01          6.2900000000E-03         -1.0320000000E-01
         0.0000000000E+00          2.0000000000E+06          4.8480000000E-01          6.2600000000E-03         -1.0320000000E-01
         1.7453292520E-02          2.0000000000E+04          8.5500000000E-02          4.2380000000E-02         -4.5800000000E-02
         1.7453292520E-02          1.2421052632E+05          5.8500000000E-01          1.4430000000E-02         -1.0590000000E-01
         1.7453292520E-02          2.2842105263E+05          5.9920000000E-01          9.6800000000E-03         -1.0450000000E-01
         1.7453292520E-02          3.3263157895E+05          5.9870000000E-01          8.1800000000E-03         -1.0380000000E-01
         1.7453292520E-02          4.3684210526E+05          5.9820000000E-01          7.3900000000E-03         -1.0350000000E-01
         1.7453292520E-02          5.4105263158E+05          5.9800000000E-01          6.8800000000E-03         -1.0340000000E-01
         1.7453292520E-02          6.4526315789E+05          5.8970000000E-01          6.9250000000E-03         -1.0200000000E-01
         1.7453292520E-02          7.4947368421E+05          5.9610000000E-01          6.2500000000E-03         -1.0300000000E-01
         1.7453292520E-02          8.5368421053E+05          5.8410000000E-01          6.0300000000E-03         -1.0040000000E-01
         1.7453292520E-02          9.5789473684E+05          5.7810000000E-01          5.8900000000E-03         -9.9300000000E-02
         1.7453292520E-02          1.0621052632E+06          5.8310000000E-01          5.8900000000E-03         -1.0060000000E-01
         1.7453292520E-02          1.1663157895E+06          5.8700000000E-01          5.9100000000E-03         -1.0160000000E-01
         1.7453292520E-02          1.2705263158E+06          5.8920000000E-01          5.9400000000E-03         -1.0210000000E-01
         1.7453292520E-02          1.3747368421E+06          5.9080000000E-01          5.9500000000E-03         -1.0240000000E-01
         1.7453292520E-02          1.4789473684E+06          5.9190000000E-01          5.9600000000E-03         -1.0260000000E-01
         1.7453292520E-02          1.5831578947E+06          5.9530000000E-01          6.0050000000E-03         -1.0300000000E-01
         1.7453292520E-02          1.6873684211E+06          5.9370000000E-01          5.9600000000E-03         -1.0300000000E-01
         1.7453292520E-02          1.7915789474E+06          5.9450000000E-01          5.9600000000E-03         -1.0310000000E-01
         1.7453292520E-02          1.8957894737E+06          5.9520000000E-01          5.9500000000E-03         -1.0320000000E-01
         1.7453292520E-02          2.0000000000E+06          5.9570000000E-01          5.9600000000E-03         -1.0330000000E-01
         3.4906585040E-02          2.0000000000E+04          1.5410000000E-01          4.7120000000E-02         -4.6800000000E-02
         3.4906585040E-02          1.2421052632E+05          6.9580000000E-01          1.4720000000E-02         -1.0450000000E-01
         3.4906585040E-02          2.2842105263E+05          7.0300000000E-01          1.0270000000E-02         -1.0250000000E-01
         3.4906585040E-02          3.3263157895E+05          7.0200000000E-01          8.7800000000E-03         -1.0180000000E-01
         3.4906585040E-02          4.3684210526E+05          7.0130000000E-01          7.9600000000E-03         -1.0150000000E-01
         3.4906585040E-02          5.4105263158E+05          7.0160000000E-01          7.4200000000E-03         -1.0160000000E-01
         3.4906585040E-02          6.4526315789E+05          7.0220000000E-01          7.0300000000E-03         -1.0170000000E-01
         3.4906585040E-02          7.4947368421E+05          7.0280000000E-01          6.7400000000E-03         -1.0190000000E-01
         3.4906585040E-02          8.5368421053E+05          7.0360000000E-01          6.5100000000E-03         -1.0210000000E-01
         3.4906585040E-02          9.5789473684E+05          7.0470000000E-01          6.3000000000E-03         -1.0240000000E-01
         3.4906585040E-02          1.0621052632E+06          7.0530000000E-01          6.1400000000E-03         -1.0250000000E-01
         3.4906585040E-02          1.1663157895E+06          7.0630000000E-01          5.9900000000E-03         -1.0280000000E-01
         3.4906585040E-02          1.2705263158E+06          7.0680000000E-01          5.8800000000E-03         -1.0290000000E-01
         3.4906585040E-02          1.3747368421E+06          7.0780000000E-01          5.7600000000E-03         -1.0310000000E-01
         3.4906585040E-02          1.4789473684E+06          7.0830000000E-01          5.6700000000E-03         -1.0330000000E-01
         3.4906585040E-02          1.5831578947E+06          7.0690000000E-01          5.5800000000E-03         -1.0300000000E-01
         3.4906585040E-02          1.6873684211E+06          7.0270000000E-01          5.4900000000E-03         -1.0200000000E-01
         3.4906585040E-02          1.7915789474E+06          6.9860000000E-01          5.4300000000E-03         -1.0110000000E-01
         3.4906585040E-02          1.8957894737E+06          6.9600000000E-01          5.3900000000E-03         -1.0060000000E-01
         3.4906585040E-02          2.0000000000E+06          6.9850000000E-01          5.3600000000E-03         -1.0120000000E-01
         5.2359877560E-02          2.0000000000E+04          2.1890000000E-01          5.2630000000E-02         -4.8000000000E-02
         5.2359877560E-02          1.2421052632E+05          8.0380000000E-01          1.5410000000E-02         -1.0300000000E-01
         5.2359877560E-02          2.2842105263E+05          8.0750000000E-01          1.1000000000E-02         -1.0090000000E-01
         5.2359877560E-02          3.3263157895E+05          8.0620000000E-01          9.4500000000E-03         -1.0020000000E-01
         5.2359877560E-02          4.3684210526E+05          8.0590000000E-01          8.5900000000E-03         -1.0000000000E-01
         5.2359877560E-02          5.4105263158E+05          8.0660000000E-01          8.0100000000E-03         -1.0020000000E-01
         5.2359877560E-02          6.4526315789E+05          8.0760000000E-01          7.6000000000E-03         -1.0040000000E-01
         5.2359877560E-02          7.4947368421E+05          8.0890000000E-01          7.2700000000E-03         -1.0070000000E-01
         5.2359877560E-02          8.5368421053E+05          8.1040000000E-01          7.0000000000E-03         -1.0100000000E-01
         5.2359877560E-02          9.5789473684E+05          8.1150000000E-01          6.8000000000E-03         -1.0130000000E-01
         5.2359877560E-02          1.0621052632E+06          8.1280000000E-01          6.6000000000E-03         -1.0160000000E-01
         5.2359877560E-02          1.1663157895E+06          8.1370000000E-01          6.4600000000E-03         -1.0180000000E-01
         5.2359877560E-02          1.2705263158E+06          8.1490000000E-01          6.3100000000E-03         -1.0210000000E-01
         5.2359877560E-02          1.3747368421E+06          8.1570000000E-01          6.2000000000E-03         -1.0230000000E-01
         5.2359877560E-02          1.4789473684E+06          8.1660000000E-01          6.0900000000E-03         -1.0250000000E-01
         5.2359877560E-02          1.5831578947E+06          8.1750000000E-01          5.9800000000E-03         -1.0270000000E-01
         5.2359877560E-02          1.6873684211E+06          8.1810000000E-01          5.9100000000E-03         -1.0280000000E-01
         5.2359877560E-02          1.7915789474E+06          8.1870000000E-01          5.8400000000E-03         -1.0300000000E-01
         5.2359877560E-02          1.8957894737E+06          8.1950000000E-01          5.7500000000E-03         -1.0320000000E-01
         5.2359877560E-02          2.0000000000E+06          8.2010000000E-01          5.6800000000E-03         -1.0330000000E-01
         6.9813170080E-02          2.0000000000E+04          2.8000000000E-01          5.8980000000E-02         -4.9500000000E-02
         6.9813170080E-02          1.2421052632E+05          9.0900000000E-01          1.6370000000E-02         -1.0130000000E-01
         6.9813170080E-02          2.2842105263E+05          9.1170000000E-01          1.1840000000E-02         -9.9300000000E-02
         6.9813170080E-02          3.3263157895E+05          9.1050000000E-01          1.0200000000E-02         -9.8600000000E-02
         6.9813170080E-02          4.3684210526E+05          9.1080000000E-01          9.2400000000E-03         -9.8600000000E-02
         6.9813170080E-02          5.4105263158E+05          9.1200000000E-01          8.6300000000E-03         -9.8900000000E-02
         6.9813170080E-02          6.4526315789E+05          9.1370000000E-01          8.1700000000E-03         -9.9300000000E-02
         6.9813170080E-02          7.4947368421E+05          9.1550000000E-01          7.8200000000E-03         -9.9700000000E-02
         6.9813170080E-02          8.5368421053E+05          9.1690000000E-01          7.5700000000E-03         -1.0000000000E-01
         6.9813170080E-02          9.5789473684E+05          9.1880000000E-01          7.3100000000E-03         -1.0040000000E-01
         6.9813170080E-02          1.0621052632E+06          9.2010000000E-01          7.1300000000E-03         -1.0070000000E-01
         6.9813170080E-02          1.1663157895E+06          9.2170000000E-01          6.9500000000E-03         -1.0110000000E-01
         6.9813170080E-02          1.2705263158E+06          9.2250000000E-01          6.8300000000E-03         -1.0130000000E-01
         6.9813170080E-02          1.3747368421E+06          9.2400000000E-01          6.6800000000E-03         -1.0160000000E-01
         6.9813170080E-02          1.4789473684E+06          9.2490000000E-01          6.5800000000E-03         -1.0180000000E-01
         6.9813170080E-02          1.5831578947E+06          9.2570000000E-01          6.4900000000E-03         -1.0200000000E-01
         6.9813170080E-02          1.6873684211E+06          9.2680000000E-01          6.3800000000E-03         -1.0220000000E-01
         6.9813170080E-02          1.7915789474E+06          9.2750000000E-01          6.3000000000E-03         -1.0240000000E-01
         6.9813170080E-02          1.8957894737E+06          9.2800000000E-01          6.2500000000E-03         -1.0250000000E-01
         6.9813170080E-02          2.0000000000E+06          9.2890000000E-01          6.1600000000E-03         -1.0270000000E-01
         8.7266462600E-02          2.0000000000E+04          3.3710000000E-01          6.6220000000E-02         -5.1400000000E-02
         8.7266462600E-02          1.2421052632E+05          1.0124000000E+00          1.7460000000E-02         -9.9200000000E-02
         8.7266462600E-02          2.2842105263E+05          1.0140000000E+00          1.2730000000E-02         -9.7400000000E-02
         8.7266462600E-02          3.3263157895E+05          1.0127000000E+00          1.0960000000E-02         -9.6800000000E-02
         8.7266462600E-02          4.3684210526E+05          1.0136000000E+00          9.9700000000E-03         -9.7000000000E-02
         8.7266462600E-02          5.4105263158E+05          1.0156000000E+00          9.3100000000E-03         -9.7400000000E-02
         8.7266462600E-02          6.4526315789E+05          1.0180000000E+00          8.8300000000E-03         -9.7900000000E-02
         8.7266462600E-02          7.4947368421E+05          1.0203000000E+00          8.4700000000E-03         -9.8400000000E-02
         8.7266462600E-02          8.5368421053E+05          1.0222000000E+00          8.2000000000E-03         -9.8900000000E-02
         8.7266462600E-02          9.5789473684E+05          1.0245000000E+00          7.9400000000E-03         -9.9400000000E-02
         8.7266462600E-02          1.0621052632E+06          1.0263000000E+00          7.7400000000E-03         -9.9800000000E-02
         8.7266462600E-02          1.1663157895E+06          1.0277000000E+00          7.5800000000E-03         -1.0010000000E-01
         8.7266462600E-02          1.2705263158E+06          1.0292000000E+00          7.4300000000E-03         -1.0040000000E-01
         8.7266462600E-02          1.3747368421E+06          1.0302000000E+00          7.3200000000E-03         -1.0070000000E-01
         8.7266462600E-02          1.4789473684E+06          1.0314000000E+00          7.2100000000E-03         -1.0090000000E-01
         8.7266462600E-02          1.5831578947E+06          1.0321000000E+00          7.1300000000E-03         -1.0110000000E-01
         8.7266462600E-02          1.6873684211E+06          1.0330000000E+00          7.0500000000E-03         -1.0130000000E-01
         8.7266462600E-02          1.7915789474E+06          1.0335000000E+00          6.9900000000E-03         -1.0150000000E-01
         8.7266462600E-02          1.8957894737E+06          1.0341000000E+00          6.9300000000E-03         -1.0160000000E-01
         8.7266462600E-02          2.0000000000E+06          1.0346000000E+00          6.8800000000E-03         -1.0180000000E-01
         1.0471975512E-01          2.0000000000E+04          3.8990000000E-01          7.4440000000E-02         -5.3600000000E-02
         1.0471975512E-01          1.2421052632E+05          1.1099000000E+00          1.8550000000E-02         -9.6100000000E-02
         1.0471975512E-01          2.2842105263E+05          1.1109000000E+00          1.3620000000E-02         -9.4400000000E-02
         1.0471975512E-01          3.3263157895E+05          1.1105000000E+00          1.1810000000E-02         -9.4200000000E-02
         1.0471975512E-01          4.3684210526E+05          1.1129000000E+00          1.0780000000E-02         -9.4700000000E-02
         1.0471975512E-01          5.4105263158E+05          1.1161000000E+00          1.0120000000E-02         -9.5400000000E-02
         1.0471975512E-01          6.4526315789E+05          1.1196000000E+00          9.6200000000E-03         -9.6200000000E-02
         1.0471975512E-01          7.4947368421E+05          1.1225000000E+00          9.2600000000E-03         -9.6800000000E-02
         1.0471975512E-01          8.5368421053E+05          1.1247000000E+00          9.0000000000E-03         -9.7300000000E-02
         1.0471975512E-01          9.5789473684E+05          1.1266000000E+00          8.8000000000E-03         -9.7800000000E-02
         1.0471975512E-01          1.0621052632E+06          1.1280000000E+00          8.6500000000E-03         -9.8100000000E-02
         1.0471975512E-01          1.1663157895E+06          1.1292000000E+00          8.5200000000E-03         -9.8500000000E-02
         1.0471975512E-01          1.2705263158E+06          1.1304000000E+00          8.4100000000E-03         -9.8700000000E-02
         1.0471975512E-01          1.3747368421E+06          1.1312000000E+00          8.3300000000E-03         -9.9000000000E-02
         1.0471975512E-01          1.4789473684E+06          1.1318000000E+00          8.2800000000E-03         -9.9100000000E-02
         1.0471975512E-01          1.5831578947E+06          1.1324000000E+00          8.2200000000E-03         -9.9300000000E-02
         1.0471975512E-01          1.6873684211E+06          1.1329000000E+00          8.1700000000E-03         -9.9500000000E-02
         1.0471975512E-01          1.7915789474E+06          1.1332000000E+00          8.1400000000E-03         -9.9600000000E-02
         1.0471975512E-01          1.8957894737E+06          1.1337000000E+00          8.0900000000E-03         -9.9700000000E-02
         1.0471975512E-01          2.0000000000E+06          1.1339000000E+00          8.0700000000E-03         -9.9800000000E-02
         1.2217304764E-01          2.0000000000E+04          4.3830000000E-01          8.3740000000E-02         -5.6400000000E-02
         1.2217304764E-01          1.2421052632E+05          1.2014000000E+00          1.9410000000E-02         -9.1600000000E-02
         1.2217304764E-01          2.2842105263E+05          1.2011000000E+00          1.4600000000E-02         -9.0500000000E-02
         1.2217304764E-01          3.3263157895E+05          1.2035000000E+00          1.2780000000E-02         -9.0900000000E-02
         1.2217304764E-01          4.3684210526E+05          1.2074000000E+00          1.1800000000E-02         -9.1800000000E-02
         1.2217304764E-01          5.4105263158E+05          1.2109000000E+00          1.1230000000E-02         -9.2600000000E-02
         1.2217304764E-01          6.4526315789E+05          1.2134000000E+00          1.0880000000E-02         -9.3300000000E-02
         1.2217304764E-01          7.4947368421E+05          1.2158000000E+00          1.0620000000E-02         -9.3900000000E-02
         1.2217304764E-01          8.5368421053E+05          1.2173000000E+00          1.0460000000E-02         -9.4300000000E-02
         1.2217304764E-01          9.5789473684E+05          1.2188000000E+00          1.0320000000E-02         -9.4700000000E-02
         1.2217304764E-01          1.0621052632E+06          1.2198000000E+00          1.0230000000E-02         -9.5000000000E-02
         1.2217304764E-01          1.1663157895E+06          1.2206000000E+00          1.0160000000E-02         -9.5300000000E-02
         1.2217304764E-01          1.2705263158E+06          1.2213000000E+00          1.0100000000E-02         -9.5500000000E-02
         1.2217304764E-01          1.3747368421E+06          1.2219000000E+00          1.0040000000E-02         -9.5700000000E-02
         1.2217304764E-01          1.4789473684E+06          1.2224000000E+00          1.0000000000E-02         -9.5900000000E-02
         1.2217304764E-01          1.5831578947E+06          1.2227000000E+00          9.9800000000E-03         -9.6000000000E-02
         1.2217304764E-01          1.6873684211E+06          1.2233000000E+00          9.9300000000E-03         -9.6100000000E-02
         1.2217304764E-01          1.7915789474E+06          1.2238000000E+00          9.8900000000E-03         -9.6300000000E-02
         1.2217304764E-01          1.8957894737E+06          1.2239000000E+00          9.8800000000E-03         -9.6400000000E-02
         1.2217304764E-01          2.0000000000E+06          1.2246000000E+00          9.8300000000E-03         -9.6500000000E-02
         1.3962634016E-01          2.0000000000E+04          4.8230000000E-01          9.4170000000E-02         -5.9700000000E-02
         1.3962634016E-01          1.2421052632E+05          1.2801000000E+00          2.0380000000E-02         -8.5200000000E-02
         1.3962634016E-01          2.2842105263E+05          1.2804000000E+00          1.5900000000E-02         -8.4800000000E-02
         1.3962634016E-01          3.3263157895E+05          1.2824000000E+00          1.4450000000E-02         -8.5500000000E-02
         1.3962634016E-01          4.3684210526E+05          1.2857000000E+00          1.3780000000E-02         -8.6500000000E-02
         1.3962634016E-01          5.4105263158E+05          1.2886000000E+00          1.3420000000E-02         -8.7300000000E-02
         1.3962634016E-01          6.4526315789E+05          1.2911000000E+00          1.3180000000E-02         -8.8000000000E-02
         1.3962634016E-01          7.4947368421E+05          1.2932000000E+00          1.2990000000E-02         -8.8600000000E-02
         1.3962634016E-01          8.5368421053E+05          1.2952000000E+00          1.2830000000E-02         -8.9100000000E-02
         1.3962634016E-01          9.5789473684E+05          1.2971000000E+00          1.2690000000E-02         -8.9600000000E-02
         1.3962634016E-01          1.0621052632E+06          1.2988000000E+00          1.2560000000E-02         -9.0000000000E-02
         1.3962634016E-01          1.1663157895E+06          1.3003000000E+00          1.2450000000E-02         -9.0400000000E-02
         1.3962634016E-01          1.2705263158E+06          1.3016000000E+00          1.2360000000E-02         -9.0700000000E-02
         1.3962634016E-01          1.3747368421E+06          1.3034000000E+00          1.2230000000E-02         -9.1000000000E-02
         1.3962634016E-01          1.4789473684E+06          1.3047000000E+00          1.2130000000E-02         -9.1300000000E-02
         1.3962634016E-01          1.5831578947E+06          1.3063000000E+00          1.2030000000E-02         -9.1600000000E-02
         1.3962634016E-01          1.6873684211E+06          1.3074000000E+00          1.1950000000E-02         -9.1900000000E-02
         1.3962634016E-01          1.7915789474E+06          1.3090000000E+00          1.1840000000E-02         -9.2200000000E-02
         1.3962634016E-01          1.8957894737E+06          1.3100000000E+00          1.1780000000E-02         -9.2400000000E-02
         1.3962634016E-01          2.0000000000E+06          1.3112000000E+00          1.1690000000E-02         -9.2700000000E-02
         1.5707963268E-01          2.0000000000E+04          5.2230000000E-01          1.0580000000E-01         -6.3600000000E-02
         1.5707963268E-01          1.2421052632E+05          1.3315000000E+00          2.2060000000E-02         -7.4700000000E-02
         1.5707963268E-01          2.2842105263E+05          1.3289000000E+00          1.8710000000E-02         -7.4700000000E-02
         1.5707963268E-01          3.3263157895E+05          1.3315000000E+00          1.7680000000E-02         -7.5800000000E-02
         1.5707963268E-01          4.3684210526E+05          1.3378000000E+00          1.7050000000E-02         -7.7300000000E-02
         1.5707963268E-01          5.4105263158E+05          1.3444000000E+00          1.6540000000E-02         -7.8700000000E-02
         1.5707963268E-01          6.4526315789E+05          1.3509000000E+00          1.6100000000E-02         -8.0000000000E-02
         1.5707963268E-01          7.4947368421E+05          1.3567000000E+00          1.5720000000E-02         -8.1200000000E-02
         1.5707963268E-01          8.5368421053E+05          1.3619000000E+00          1.5400000000E-02         -8.2200000000E-02
         1.5707963268E-01          9.5789473684E+05          1.3667000000E+00          1.5130000000E-02         -8.3100000000E-02
         1.5707963268E-01          1.0621052632E+06          1.3716000000E+00          1.4850000000E-02         -8.4000000000E-02
         1.5707963268E-01          1.1663157895E+06          1.3751000000E+00          1.4650000000E-02         -8.4700000000E-02
         1.5707963268E-01          1.2705263158E+06          1.3790000000E+00          1.4410000000E-02         -8.5400000000E-02
         1.5707963268E-01          1.3747368421E+06          1.3821000000E+00          1.4220000000E-02         -8.6000000000E-02
         1.5707963268E-01          1.4789473684E+06          1.3847000000E+00          1.4070000000E-02         -8.6400000000E-02
         1.5707963268E-01          1.5831578947E+06          1.3877000000E+00          1.3880000000E-02         -8.7000000000E-02
         1.5707963268E-01          1.6873684211E+06          1.3901000000E+00          1.3730000000E-02         -8.7400000000E-02
         1.5707963268E-01          1.7915789474E+06          1.3921000000E+00          1.3610000000E-02         -8.7800000000E-02
         1.5707963268E-01          1.8957894737E+06          1.3942000000E+00          1.3480000000E-02         -8.8200000000E-02
         1.5707963268E-01          2.0000000000E+06          1.3965000000E+00          1.3340000000E-02         -8.8600000000E-02
         1.7453292520E-01          2.0000000000E+04          5.7970000000E-01          1.2150000000E-01         -7.3000000000E-02
         1.7453292520E-01          1.2421052632E+05          1.3265000000E+00          2.7280000000E-02         -5.8200000000E-02
         1.7453292520E-01          2.2842105263E+05          1.3432000000E+00          2.3990000000E-02         -6.1700000000E-02
         1.7453292520E-01          3.3263157895E+05          1.3624000000E+00          2.2150000000E-02         -6.4900000000E-02
         1.7453292520E-01          4.3684210526E+05          1.3785000000E+00          2.0860000000E-02         -6.7400000000E-02
         1.7453292520E-01          5.4105263158E+05          1.3917000000E+00          1.9880000000E-02         -6.9500000000E-02
         1.7453292520E-01          6.4526315789E+05          1.4035000000E+00          1.9060000000E-02         -7.1400000000E-02
         1.7453292520E-01          7.4947368421E+05          1.4134000000E+00          1.8400000000E-02         -7.2900000000E-02
         1.7453292520E-01          8.5368421053E+05          1.4206000000E+00          1.7930000000E-02         -7.4100000000E-02
         1.7453292520E-01          9.5789473684E+05          1.4287000000E+00          1.7430000000E-02         -7.5400000000E-02
         1.7453292520E-01          1.0621052632E+06          1.4345000000E+00          1.7070000000E-02         -7.6400000000E-02
         1.7453292520E-01          1.1663157895E+06          1.4404000000E+00          1.6720000000E-02         -7.7400000000E-02
         1.7453292520E-01          1.2705263158E+06          1.4459000000E+00          1.6400000000E-02         -7.8300000000E-02
         1.7453292520E-01          1.3747368421E+06          1.4504000000E+00          1.6150000000E-02         -7.9100000000E-02
         1.7453292520E-01          1.4789473684E+06          1.4542000000E+00          1.5930000000E-02         -7.9800000000E-02
         1.7453292520E-01          1.5831578947E+06          1.4589000000E+00          1.5680000000E-02         -8.0600000000E-02
         1.7453292520E-01          1.6873684211E+06          1.4629000000E+00          1.5470000000E-02         -8.1300000000E-02
         1.7453292520E-01          1.7915789474E+06          1.4662000000E+00          1.5290000000E-02         -8.1900000000E-02
         1.7453292520E-01          1.8957894737E+06          1.4693000000E+00          1.5140000000E-02         -8.2400000000E-02
         1.7453292520E-01          2.0000000000E+06          1.4720000000E+00          1.5000000000E-02         -8.2900000000E-02
         1.9198621772E-01          2.0000000000E+04          6.5670000000E-01          1.4019000000E-01         -8.6700000000E-02
         1.9198621772E-01          1.2421052632E+05          1.3176000000E+00          3.5450000000E-02         -4.6100000000E-02
         1.9198621772E-01          2.2842105263E+05          1.3560000000E+00          3.0500000000E-02         -5.1600000000E-02
         1.9198621772E-01          3.3263157895E+05          1.3906000000E+00          2.7340000000E-02         -5.5700000000E-02
         1.9198621772E-01          4.3684210526E+05          1.4170000000E+00          2.5160000000E-02         -5.8900000000E-02
         1.9198621772E-01          5.4105263158E+05          1.4372000000E+00          2.3600000000E-02         -6.1400000000E-02
         1.9198621772E-01          6.4526315789E+05          1.4523000000E+00          2.2470000000E-02         -6.3400000000E-02
         1.9198621772E-01          7.4947368421E+05          1.4652000000E+00          2.1550000000E-02         -6.5200000000E-02
         1.9198621772E-01          8.5368421053E+05          1.4762000000E+00          2.0790000000E-02         -6.6700000000E-02
         1.9198621772E-01          9.5789473684E+05          1.4858000000E+00          2.0140000000E-02         -6.8100000000E-02
